playerId,playerName,squadName,durationMins,contactPenaltiesTotal,deflectionWithGainTotal,deflectionWithNoGainTotal,deflectionsTotal,gainTotal,obstructionPenaltiesTotal,contactPenaltiesPer,deflectionWithGainPer,deflectionWithNoGainPer,deflectionsPer,gainPer,obstructionPenaltiesPer
80470,A.Brandley,GIANTS,259.93333333333334,30,2,10,12,11,15,1.7312131315721981,0.11541420877147987,0.5770710438573994,0.6924852526288792,0.6347781482431393,0.8656065657860991
997815,A.Lee-Jones,Lightning,63.1,20,0,5,5,2,6,4.754358161648177,0.0,1.1885895404120443,1.1885895404120443,0.4754358161648177,1.4263074484944531
1001356,A.Parmenter,GIANTS,750.45,112,7,55,62,33,18,2.23865680591645,0.13991605036977814,1.0993403957625425,1.2392564461323206,0.6596042374575255,0.3597841295222866
1014127,A.Smith,Vixens,69.46666666666667,8,0,6,6,3,3,1.727447216890595,0.0,1.2955854126679462,1.2955854126679462,0.6477927063339731,0.6477927063339731
994215,A.Teague-Neeld,Fever,645.2,29,3,14,17,8,16,0.6742095474271543,0.06974581525108493,0.3254804711717297,0.3952262864228146,0.1859888406695598,0.3719776813391196
1001703,A.Unie,Lightning,25.316666666666666,5,0,2,2,1,0,2.9624753127057275,0.0,1.184990125082291,1.184990125082291,0.5924950625411455,0.0
1013082,B.Hunt,Lightning,50.666666666666664,2,0,0,0,1,0,0.5921052631578948,0.0,0.0,0.0,0.2960526315789474,0.0
80113,C.Bassett,GIANTS,293.03333333333336,4,1,0,1,1,8,0.20475486292799452,0.05118871573199863,0.0,0.05118871573199863,0.05118871573199863,0.40950972585598905
1012933,C.Blackman,Thunderbirds,22.6,4,0,1,1,1,0,2.654867256637168,0.0,0.663716814159292,0.663716814159292,0.663716814159292,0.0
80343,C.Bruce,Fever,649.2166666666667,132,28,52,80,97,45,3.0498292814417374,0.6469334839421867,1.2014478987497754,1.848381382691962,2.241162426514004,1.0397145277642286
1001357,C.Koenen,Lightning,732.1333333333333,16,1,3,9,2,4,0.3278091422327445,0.02048807138954653,0.06146421416863959,0.18439264250591877,0.04097614277909306,0.08195228555818612
1001702,C.O'Brien,GIANTS,28.266666666666666,2,0,0,0,1,1,1.0613207547169812,0.0,0.0,0.0,0.5306603773584906,0.5306603773584906
80301,C.Pitman,Thunderbirds,625.9666666666667,32,5,6,12,6,6,0.766813994355397,0.11981468661803078,0.14377762394163693,0.28755524788327386,0.14377762394163693,0.14377762394163693
80052,C.Thwaites,Vixens,656.1333333333333,14,2,5,8,3,11,0.3200568990042674,0.045722414143466776,0.11430603535866694,0.1828896565738671,0.06858362121520016,0.25147327778906725
1000231,E.Cosh,Fever,320.6,11,1,4,5,2,14,0.5146600124766063,0.046787273861509666,0.18714909544603867,0.23393636930754833,0.09357454772301933,0.6550218340611353
994213,E.Mannix,Vixens,561.9333333333333,83,16,38,54,52,20,2.2155653102384627,0.42709692727488435,1.0143552022778504,1.4414521295527347,1.388065013643374,0.5338711590936054
1019168,E.McDonald,Vixens,90.0,8,0,3,3,0,1,1.3333333333333333,0.0,0.5,0.5,0.0,0.16666666666666666
1001717,E.Ryde,Magpies,181.0,4,0,0,2,0,0,0.3314917127071823,0.0,0.0,0.16574585635359115,0.0,0.0
1015271,G.Horjus,Thunderbirds,700.8666666666667,13,1,6,8,1,2,0.2782269571007324,0.021402073623133264,0.1284124417387996,0.17121658898506611,0.021402073623133264,0.04280414724626653
