playerId,playerName,squadName,durationMins,contactPenaltiesTotal,deflectionWithGainTotal,deflectionWithNoGainTotal,deflectionsTotal,gainTotal,obstructionPenaltiesTotal,contactPenaltiesPer,deflectionWithGainPer,deflectionWithNoGainPer,deflectionsPer,gainPer,obstructionPenaltiesPer
80470,A.Brandley,GIANTS,523.7,77,6,31,38,35,30,2.2054611418751193,0.17185411495130798,0.8879129272484246,1.0884093946916173,1.0024823372159632,0.8592705747565399
80299,A.Brazill,Magpies,604.0333333333333,99,7,30,37,20,3,2.4584735941725073,0.17383146625462173,0.7449919982340931,0.9188234644887149,0.49666133215606206,0.07449919982340932
1001356,A.Parmenter,GIANTS,500.15,90,8,28,36,27,14,2.6991902429271217,0.23992802159352195,0.8397480755773268,1.0796760971708488,0.8097570728781366,0.4198740377886634
1022764,A.Sligar,GIANTS,40.483333333333334,7,0,0,0,0,0,2.593659942363112,0.0,0.0,0.0,0.0,0.0
1014127,A.Smith,Vixens,192.23333333333332,35,3,3,6,5,5,2.7310560083232183,0.23409051499913303,0.23409051499913303,0.46818102999826605,0.39015085833188834,0.39015085833188834
994215,A.Teague-Neeld,Fever,262.8833333333333,13,5,3,9,6,10,0.7417739174538769,0.28529766055918343,0.17117859633551005,0.5135357890065302,0.3423571926710201,0.5705953211183669
1013082,B.Hunt,Lightning,80.5,9,1,1,2,3,3,1.6770186335403725,0.18633540372670807,0.18633540372670807,0.37267080745341613,0.5590062111801242,0.5590062111801242
80343,C.Bruce,Fever,533.8333333333334,104,12,48,64,59,33,2.922260380892913,0.3371838901030284,1.3487355604121136,1.7983140805494848,1.6578207930065563,0.9272556977833282
1001357,C.Koenen,Lightning,568.1833333333333,27,2,2,5,5,1,0.7127980992050689,0.05279985920037547,0.05279985920037547,0.13199964800093866,0.13199964800093866,0.026399929600187735
1001709,E.Burgess,Swifts,20.966666666666665,2,0,0,0,0,1,1.4308426073131957,0.0,0.0,0.0,0.0,0.7154213036565978
1000231,E.Cosh,Fever,243.36666666666667,11,0,0,0,1,6,0.6779893165319819,0.0,0.0,0.0,0.061635392411998356,0.3698123544719901
994213,E.Mannix,Vixens,223.2,56,4,9,14,18,13,3.7634408602150544,0.2688172043010753,0.6048387096774195,0.9408602150537636,1.209677419354839,0.8736559139784947
