playerId,playerName,squadName,durationMins,centrePassReceivesTotal,feedWithAttemptTotal,feedsTotal,generalPlayTurnoversTotal,goalAssistsTotal,interceptPassThrownTotal,centrePassReceivesPer,feedWithAttemptPer,feedsPer,generalPlayTurnoversPer,goalAssistsPer,interceptPassThrownPer
80470,A.Brandley,GIANTS,523.7,61,3,3,14,2,10,1.7471835020049644,0.08592705747565399,0.08592705747565399,0.4009929348863853,0.05728470498376933,0.28642352491884665
80299,A.Brazill,Magpies,604.0333333333333,81,61,83,44,50,20,2.0114783952320514,1.5148170630759894,2.0611445284476577,1.0926549307433366,1.2416533303901551,0.49666133215606206
1001356,A.Parmenter,GIANTS,500.15,57,5,8,16,3,4,1.7094871538538439,0.14995501349595122,0.23992802159352195,0.4798560431870439,0.08997300809757072,0.11996401079676097
1022764,A.Sligar,GIANTS,40.483333333333334,7,3,3,1,3,0,2.593659942363112,1.1115685467270482,1.1115685467270482,0.37052284890901604,1.1115685467270482,0.0
1014127,A.Smith,Vixens,192.23333333333332,5,25,40,11,18,4,0.39015085833188834,1.9507542916594418,3.1212068666551067,0.8583318883301544,1.4045430899947982,0.3121206866655107
994215,A.Teague-Neeld,Fever,262.8833333333333,95,92,115,16,86,4,5.420655550624485,5.2494769542889745,6.561846192861219,0.9129525137893869,4.907119761617954,0.22823812844734673
1013082,B.Hunt,Lightning,80.5,31,25,37,6,18,2,5.77639751552795,4.658385093167702,6.894409937888199,1.1180124223602483,3.354037267080745,0.37267080745341613
80343,C.Bruce,Fever,533.8333333333334,3,0,0,10,0,3,0.0842959725257571,0.0,0.0,0.280986575085857,0.0,0.0842959725257571
1001357,C.Koenen,Lightning,568.1833333333333,32,27,45,32,25,10,0.8447977472060075,0.7127980992050689,1.1879968320084482,0.8447977472060075,0.6599982400046934,0.2639992960018773
1001709,E.Burgess,Swifts,20.966666666666665,1,0,0,1,0,0,0.7154213036565978,0.0,0.0,0.7154213036565978,0.0,0.0
1000231,E.Cosh,Fever,243.36666666666667,94,81,109,17,73,2,5.793726886727845,4.9924667853718665,6.718257772907821,1.0478016710039721,4.49938364607588,0.12327078482399671
994213,E.Mannix,Vixens,223.2,0,0,0,3,0,1,0.0,0.0,0.0,0.2016129032258065,0.0,0.06720430107526883
1019168,E.McDonald,Thunderbirds,195.83333333333334,44,52,86,23,40,6,3.370212765957447,3.9829787234042553,6.587234042553192,1.7617021276595746,3.0638297872340425,0.4595744680851064
994232,F.Themann,Magpies,22.6,0,0,0,2,0,1,0.0,0.0,0.0,1.327433628318584,0.0,0.663716814159292
993463,G.Bueta,Firebirds,491.03333333333336,196,132,199,55,111,14,5.987373565949358,4.032312809720996,6.079017038897563,1.6801303373837486,3.3908084990835654,0.4276695404249542
1015271,G.Horjus,Thunderbirds,545.55,173,89,123,38,77,8,4.756667583172946,2.447071762441573,3.381908166070938,1.0448171569975255,2.1171295023370913,0.21996150673632117
80010,G.Mentor,Magpies,533.6833333333333,0,0,0,5,0,1,0.0,0.0,0.0,0.14053277536616596,0.0,0.028106555073233192
991905,G.Simpson,Firebirds,581.9,52,2,6,21,1,6,1.3404365011170305,0.051555250042962714,0.15466575012888814,0.5413301254511085,0.025777625021481357,0.15466575012888814
1014126,G.Sinclair,Magpies,499.1666666666667,142,132,158,35,122,13,4.267111853088481,3.9666110183639396,4.747913188647746,1.0517529215358932,3.6661101836393986,0.39065108514190316
999128,H.Housby,Swifts,503.25,166,127,167,30,123,8,4.947839046199702,3.7853949329359167,4.977645305514158,0.8941877794336811,3.6661698956780926,0.23845007451564829
1022297,H.Mundy,Vixens,438.4166666666667,122,99,158,43,76,16,4.174111385668124,3.3871887473864284,5.405816384717734,1.4712031933092569,2.6002661091047328,0.547424444022049
999806,H.Petty,Thunderbirds,444.8666666666667,2,149,221,42,120,15,0.06743593586093212,5.023977221639443,7.451670912632999,1.4161546530795746,4.046156151655927,0.5057695189569908
998408,J.Anstiss,Fever,533.9666666666667,30,95,130,23,84,4,0.8427492352831013,2.6687059117298206,3.651913352893439,0.6461077470503777,2.3596978587926833,0.1123665647044135
80826,J.Fowler,Fever,527.95,0,8,13,28,5,3,0.0,0.2272942513495596,0.36935315844303435,0.7955298797234587,0.14205890709347474,0.08523534425608485
80150,J.Harten,GIANTS,598.6333333333333,39,70,78,40,53,13,0.9772259034467399,1.7539952113146613,1.9544518068934797,1.002282977894092,1.328024945709672,0.32574196781557996
1007220,J.Mi Mi,Firebirds,274.65,70,80,127,27,59,3,3.8230475150191157,4.369197160021846,6.936100491534681,1.4746040415073731,3.2222829055161117,0.16384489350081924
1001716,J.Newton,Magpies,157.0,6,0,0,2,0,0,0.5732484076433122,0.0,0.0,0.1910828025477707,0.0,0.0
80701,J.Price,GIANTS,595.4,1,216,304,51,159,18,0.02519314746388982,5.441719852200201,7.658716829022506,1.284850520658381,4.005710446758481,0.4534766543500168
1011747,J.Ward,Magpies,574.9333333333333,35,0,0,22,0,9,0.9131493506493508,0.0,0.0,0.5739795918367347,0.0,0.23480983302411879
80577,J.Weston,Vixens,540.4,72,0,0,21,0,5,1.998519615099926,0.0,0.0,0.5829015544041452,0.0,0.13878608438193932
1001708,K.Austin,GIANTS,19.816666666666666,7,2,3,3,1,0,5.298570227081581,1.5138772077375946,2.2708158116063917,2.2708158116063917,0.7569386038687973,0.0
80575,K.Browne,Magpies,524.2666666666667,191,209,273,42,173,20,5.4647761953204474,5.979781281790437,7.8109104781281795,1.201678535096643,4.949771108850458,0.5722278738555443
1001920,K.Dehaney,Vixens,317.3833333333333,0,0,0,5,0,1,0.0,0.0,0.0,0.23630730452134646,0.0,0.04726146090426929
