squadNickname,0%-20%,20%-40%,40%-60%,60%-80%,80%-100%,meanShots,minShots,maxShots
Fever,0.145,0.136,0.211,0.173,0.335,6.492,6,7
Firebirds,0.11,0.242,0.134,0.267,0.247,5.189,4,6
GIANTS,0.03,0.179,0.114,0.327,0.35,5.516,5,6
Lightning,0.062,0.071,0.271,0.188,0.408,7.239,7,8
Magpies,0.018,0.218,0.183,0.336,0.245,4.805,4,5
Swifts,0.018,0.107,0.187,0.274,0.414,7.661,7,9
Thunderbirds,0.1,0.179,0.096,0.241,0.384,6.006,5,7
Vixens,0.037,0.114,0.169,0.237,0.443,6.248,5,7
