playerId,playerName,squadName,durationMins,centrePassReceivesTotal,feedWithAttemptTotal,feedsTotal,generalPlayTurnoversTotal,goalAssistsTotal,interceptPassThrownTotal,centrePassReceivesPer,feedWithAttemptPer,feedsPer,generalPlayTurnoversPer,goalAssistsPer,interceptPassThrownPer
80470,A.Brandley,GIANTS,190.41666666666666,13,2,2,4,2,1,1.0240700218818382,0.1575492341356674,0.1575492341356674,0.3150984682713348,0.1575492341356674,0.0787746170678337
997815,A.Lee-Jones,Lightning,63.1,0,0,0,1,0,0,0.0,0.0,0.0,0.23771790808240886,0.0,0.0
1001356,A.Parmenter,GIANTS,571.3666666666667,30,2,3,16,2,10,0.7875853217431888,0.05250568811621259,0.07875853217431888,0.4200455049297007,0.05250568811621259,0.26252844058106295
1014127,A.Smith,Vixens,30.016666666666666,4,0,0,1,0,0,1.9988895058300944,0.0,0.0,0.4997223764575236,0.0,0.0
994215,A.Teague-Neeld,Fever,520.55,179,214,260,40,203,8,5.158005955239651,6.166554605705505,7.4920756891749125,1.1526270291038325,5.84958217270195,0.23052540582076653
1001703,A.Unie,Lightning,15.683333333333334,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1013082,B.Hunt,Lightning,21.716666666666665,6,9,10,1,7,0,4.144282425172678,6.216423637759018,6.907137375287798,0.6907137375287797,4.834996162701458,0.0
80113,C.Bassett,GIANTS,293.03333333333336,0,10,12,20,6,2,0.0,0.5118871573199864,0.6142645887839836,1.0237743146399727,0.3071322943919918,0.10237743146399726
1012933,C.Blackman,Thunderbirds,22.6,2,0,0,2,0,2,1.327433628318584,0.0,0.0,1.327433628318584,0.0,1.327433628318584
80343,C.Bruce,Fever,469.53333333333336,3,0,1,13,0,7,0.09583984097685644,0.0,0.03194661365895215,0.41530597756637794,0.0,0.22362629561266503
1001357,C.Koenen,Lightning,585.4666666666667,42,28,36,26,18,7,1.076064677749943,0.7173764518332953,0.922341152357094,0.6661352767023456,0.461170576178547,0.17934411295832384
1001702,C.O'Brien,GIANTS,17.35,6,5,5,3,4,2,5.187319884726224,4.322766570605187,4.322766570605187,2.593659942363112,3.4582132564841497,1.7291066282420748
80301,C.Pitman,Thunderbirds,564.0333333333333,177,192,294,48,147,17,4.70716860705632,5.106081200874653,7.818686838839312,1.2765203002186631,3.909343419419656,0.4521009396607765
80052,C.Thwaites,Vixens,513.75,57,74,92,20,67,2,1.6642335766423357,2.1605839416058394,2.6861313868613137,0.583941605839416,1.9562043795620436,0.058394160583941604
