playerId,playerName,squadName,durationMins,contactPenaltiesTotal,deflectionWithGainTotal,deflectionWithNoGainTotal,deflectionsTotal,gainTotal,obstructionPenaltiesTotal,contactPenaltiesPer,deflectionWithGainPer,deflectionWithNoGainPer,deflectionsPer,gainPer,obstructionPenaltiesPer
80470,A.Brandley,GIANTS,190.41666666666666,22,2,6,8,9,10,1.7330415754923414,0.1575492341356674,0.4726477024070022,0.6301969365426696,0.7089715536105033,0.7877461706783371
997815,A.Lee-Jones,Lightning,63.1,20,0,5,5,2,6,4.754358161648177,0.0,1.1885895404120443,1.1885895404120443,0.4754358161648177,1.4263074484944531
1001356,A.Parmenter,GIANTS,571.3666666666667,96,6,41,47,25,14,2.5202730295782043,0.15751706434863777,1.076366606382358,1.233883670730996,0.6563211014526573,0.36753981681348813
1014127,A.Smith,Vixens,30.016666666666666,2,0,3,3,2,2,0.9994447529150472,0.0,1.4991671293725708,1.4991671293725708,0.9994447529150472,0.9994447529150472
994215,A.Teague-Neeld,Fever,520.55,25,2,10,12,6,15,0.7203918931898954,0.05763135145519163,0.28815675727595813,0.3457881087311498,0.1728940543655749,0.43223513591393725
1001703,A.Unie,Lightning,15.683333333333334,5,0,0,0,0,0,4.782146652497343,0.0,0.0,0.0,0.0,0.0
1013082,B.Hunt,Lightning,21.716666666666665,2,0,0,0,0,0,1.3814274750575595,0.0,0.0,0.0,0.0,0.0
80113,C.Bassett,GIANTS,293.03333333333336,4,1,0,1,1,8,0.20475486292799452,0.05118871573199863,0.0,0.05118871573199863,0.05118871573199863,0.40950972585598905
1012933,C.Blackman,Thunderbirds,22.6,4,0,1,1,1,0,2.654867256637168,0.0,0.663716814159292,0.663716814159292,0.663716814159292,0.0
80343,C.Bruce,Fever,469.53333333333336,93,21,34,55,67,35,2.9710350702825497,0.6708788868379951,1.086184864404373,1.7570637512423681,2.140423115149794,1.1181314780633251
1001357,C.Koenen,Lightning,585.4666666666667,14,1,3,7,2,4,0.3586882259166477,0.025620587565474834,0.0768617626964245,0.17934411295832384,0.05124117513094967,0.10248235026189934
1001702,C.O'Brien,GIANTS,17.35,1,0,0,0,0,0,0.8645533141210374,0.0,0.0,0.0,0.0,0.0
80301,C.Pitman,Thunderbirds,564.0333333333333,27,5,6,12,6,6,0.7180426688729981,0.13297086460611074,0.1595650375273329,0.3191300750546658,0.1595650375273329,0.1595650375273329
80052,C.Thwaites,Vixens,513.75,10,0,3,4,0,11,0.291970802919708,0.0,0.08759124087591241,0.11678832116788321,0.0,0.32116788321167883
1000231,E.Cosh,Fever,188.55,10,1,1,2,2,10,0.7955449482895783,0.07955449482895784,0.07955449482895784,0.15910898965791567,0.15910898965791567,0.7955449482895783
994213,E.Mannix,Vixens,447.1166666666667,63,14,31,45,43,15,2.1135423267603533,0.4696760726134119,1.0399970179296978,1.5096730905431095,1.4425765087411935,0.5032243635143698
1001717,E.Ryde,Magpies,181.0,4,0,0,2,0,0,0.3314917127071823,0.0,0.0,0.16574585635359115,0.0,0.0
1015271,G.Horjus,Thunderbirds,525.4166666666666,9,1,4,6,1,1,0.2569389373513085,0.028548770816812057,0.11419508326724823,0.17129262490087233,0.028548770816812057,0.028548770816812057
80010,G.Mentor,Magpies,661.9166666666666,123,15,72,87,53,33,2.7873599395694324,0.3399219438499308,1.6316253304796677,1.9715472743295985,1.201057534936422,0.7478282764698477
991905,G.Simpson,Firebirds,647.1,80,6,20,26,21,8,1.8544274455261935,0.13908205841446453,0.4636068613815484,0.6026889197960129,0.48678720445062584,0.18544274455261936
1014126,G.Sinclair,Magpies,601.7666666666667,18,3,4,8,7,3,0.44867888993519084,0.07477981498919847,0.09970641998559797,0.19941283997119594,0.17448623497479646,0.07477981498919847
999128,H.Housby,Swifts,480.6333333333333,12,6,8,20,9,2,0.37450586032318467,0.18725293016159233,0.2496705735487898,0.6241764338719745,0.28087939524238853,0.06241764338719745
999806,H.Petty,Thunderbirds,289.53333333333336,29,1,7,8,6,8,1.5024176836288279,0.05180750633202855,0.3626525443241998,0.4144600506562284,0.3108450379921713,0.4144600506562284
993360,I.Colyer,Fever,413.0833333333333,13,2,2,4,8,4,0.4720597135364132,0.07262457131329433,0.07262457131329433,0.14524914262658867,0.29049828525317734,0.14524914262658867
1009721,I.Venter,Firebirds,61.21666666666667,2,0,0,1,0,0,0.49006261911244214,0.0,0.0,0.24503130955622107,0.0,0.0
998408,J.Anstiss,Fever,626.7833333333333,52,3,13,16,10,9,1.2444491716967585,0.07179514452096684,0.3111122929241896,0.3829074374451565,0.2393171484032228,0.21538543356290052
80826,J.Fowler,Fever,652.5833333333334,16,1,1,6,1,10,0.36776912271740514,0.02298557016983782,0.02298557016983782,0.13791342101902693,0.02298557016983782,0.2298557016983782
80150,J.Harten,GIANTS,623.0,11,3,8,16,7,4,0.2648475120385233,0.07223113964686999,0.1926163723916533,0.3852327447833066,0.16853932584269665,0.09630818619582665
1007220,J.Mi Mi,Firebirds,376.3333333333333,26,3,6,9,5,2,1.0363153232949514,0.1195748449955713,0.2391496899911426,0.3587245349867139,0.19929140832595216,0.07971656333038087
1001716,J.Newton,Vixens,32.833333333333336,8,0,4,4,2,2,3.6548223350253806,0.0,1.8274111675126903,1.8274111675126903,0.9137055837563451,0.9137055837563451
80701,J.Price,GIANTS,653.3666666666667,73,9,36,45,25,5,1.6759349012805467,0.20662211111677975,0.826488444467119,1.0331105555838986,0.5739503086577215,0.1147900617315443
80297,J.Russell,Lightning,199.66666666666666,25,2,7,9,6,1,1.8781302170283807,0.15025041736227046,0.5258764607679466,0.6761268781302171,0.4507512520868114,0.07512520868113523
1011747,J.Ward,Magpies,536.7166666666667,116,9,31,40,44,32,3.2419339813060892,0.2515293606185759,0.8663789087973169,1.1179082694158928,1.229699096357482,0.8943266155327143
80577,J.Weston,Vixens,641.7833333333333,89,13,22,35,31,44,2.080141273015296,0.3038408601033578,0.5141922247902979,0.8180330848936557,0.724543589477238,1.0283844495805958
1014125,K.Altmann,Magpies,232.4,18,2,4,6,3,1,1.161790017211704,0.12908777969018934,0.25817555938037867,0.387263339070568,0.193631669535284,0.06454388984509467
1001708,K.Austin,GIANTS,632.1333333333333,44,5,14,20,13,12,1.0440835266821347,0.11864585530478802,0.3322083948534065,0.4745834212191521,0.30847922379244885,0.28475005273149123
80575,K.Browne,Magpies,369.15,22,1,3,5,1,6,0.8939455505891915,0.04063388866314507,0.12190166598943519,0.20316944331572534,0.04063388866314507,0.24380333197887039
1001920,K.Dehaney,Vixens,185.78333333333333,25,3,14,17,9,22,2.0184803086032117,0.2422176370323854,1.1303489728177984,1.3725666098501839,0.7266529110971562,1.7762626715708263
1001701,K.Eddy,Vixens,651.2166666666667,64,1,23,24,21,19,1.4741637447854017,0.0230338085122719,0.5297775957822537,0.5528114042945256,0.48370997875770994,0.4376423617331661
1007219,K.Jenner,Firebirds,652.9666666666667,140,8,47,55,37,26,3.216090663127265,0.183776609321558,1.0796875797641534,1.2634641890857112,0.8499668181122058,0.5972739802950635
