team,player,durationOn,durationOff,absPlusMinusOn,absPlusMinusOff,perPlusMinusOn,perPlusMinusOff,relAbsPlusMinus,relPerPlusMinus
Firebirds,R.Aiken,702.2333333333333,20.333333333333332,-31,-19,-0.6621730668818532,-14.016393442622952,-12,13.354220375741098
Firebirds,T.Dwan,655.3333333333334,67.51666666666667,-10,-40,-0.22889114954221773,-8.886694643297954,30,8.657803493755736
Lightning,L.Langman,704.85,17.7,1,-10,0.02128112364332837,-8.474576271186441,11,8.49585739482977
GIANTS,K.Austin,692.8666666666667,29.566666666666666,13,-14,0.28143943038583663,-7.102593010146562,27,7.384032440532399
Vixens,K.Moloney,688.25,34.53333333333333,112,-9,2.4409734834725754,-3.9092664092664093,121,6.350239892738985
Lightning,P.Maweni,671.2333333333333,51.333333333333336,11,-20,0.24581615930873515,-5.844155844155844,31,6.089972003464579
Thunderbirds,T.Williams,107.71666666666667,193.61666666666667,20,-23,2.78508432616432,-1.781871395368856,43,4.566955721533176
Fever,J.Anstiss,686.8,35.78333333333333,69,-6,1.5069889341875364,-2.515137401024685,75,4.022126335212222
Fever,V.Charles,673.2333333333333,49.25,70,-7,1.5596375699361291,-2.1319796954314723,77,3.6916172653676016
Fever,A.Teague-Neeld,580.55,142.0,76,-13,1.963655154594781,-1.3732394366197183,89,3.336894591214499
Firebirds,L.Dunkley,263.9,338.8333333333333,8,-65,0.4547176960970064,-2.8775209050664046,73,3.332238601163411
Thunderbirds,G.Horjus,585.6833333333333,137.21666666666667,2,-29,0.05122221906035685,-3.170168832746265,31,3.221391051806622
Lightning,S.Wood,646.7666666666667,76.03333333333333,6,-15,0.1391537391125084,-2.959228408592723,21,3.0983821477052316
Vixens,J.Weston,701.7833333333333,21.166666666666668,104,-1,2.2229083050324174,-0.7086614173228346,105,2.931569722355252
Fever,I.Colyer,413.0833333333333,129.35,44,-10,1.597740568892475,-1.1596443757247779,54,2.757384944617253
Vixens,A.Smith,36.3,83.75,7,1,2.8925619834710745,0.1791044776119403,6,2.713457505859134
Thunderbirds,K.Shimmin,239.2,424.05,17,-43,1.0660535117056855,-1.521047046338875,60,2.5871005580445603
GIANTS,A.Parmenter,632.1333333333333,30.0,0,-5,0.0,-2.5,5,2.5
Firebirds,M.Cassidy,623.5833333333334,99.23333333333333,-29,-21,-0.6975811840171053,-3.1743365804501176,-8,2.4767553964330125
GIANTS,S.Poolman,603.6333333333333,118.73333333333333,15,-16,0.37274283505439293,-2.021336327905671,31,2.3940791629600637
Vixens,E.Mannix,504.25,98.28333333333333,93,3,2.7664848785324745,0.4578599287773443,90,2.30862494975513
Vixens,K.Eddy,704.9666666666667,17.966666666666665,103,0,2.1915929831197696,0.0,103,2.1915929831197696
Firebirds,T.Hinchliffe,607.8333333333334,115.0,-28,-22,-0.6909788867562379,-2.869565217391304,-6,2.178586330635066
GIANTS,J.Harten,683.7333333333333,38.65,4,-5,0.08775351014040562,-1.9404915912031049,9,2.0282451013435105
Fever,C.Bruce,529.5333333333333,71.8,71,0,2.0112048344454236,0.0,71,2.0112048344454236
Swifts,P.Hadley,631.3666666666667,92.7,19,-9,0.4514017211340478,-1.4563106796116505,28,1.9077124007456983
Magpies,J.Ward,589.8666666666667,132.63333333333333,-62,-27,-1.5766274864376129,-3.0535310379492335,-35,1.4769035515116207
Swifts,S.Garbin,323.1666666666667,401.18333333333334,22,-12,1.0211449200618874,-0.4486726766648663,34,1.4698175967267537
GIANTS,A.Brandley,227.1,315.1666666666667,9,-17,0.5944517833553501,-0.8090957165520889,26,1.403547499907439
