playerId,playerName,squadName,durationMins,contactPenaltiesTotal,deflectionWithGainTotal,deflectionWithNoGainTotal,deflectionsTotal,gainTotal,obstructionPenaltiesTotal,contactPenaltiesPer,deflectionWithGainPer,deflectionWithNoGainPer,deflectionsPer,gainPer,obstructionPenaltiesPer
80470,A.Brandley,GIANTS,240.0,47,4,15,19,19,14,2.9375,0.25,0.9375,1.1875,1.1875,0.875
80299,A.Brazill,Magpies,298.93333333333334,45,3,14,17,10,2,2.2580285459411242,0.15053523639607494,0.7024977698483497,0.8530330062444247,0.5017841213202499,0.10035682426404996
1001356,A.Parmenter,GIANTS,230.11666666666667,45,1,11,12,9,7,2.9332947055841236,0.0651843267907583,0.7170275946983413,0.7822119214890997,0.5866589411168248,0.45629028753530815
1022764,A.Sligar,GIANTS,40.483333333333334,7,0,0,0,0,0,2.593659942363112,0.0,0.0,0.0,0.0,0.0
1014127,A.Smith,Vixens,123.66666666666667,24,2,0,2,4,5,2.911051212938005,0.2425876010781671,0.0,0.2425876010781671,0.4851752021563342,0.6064690026954177
994215,A.Teague-Neeld,Fever,130.78333333333333,9,0,1,1,1,2,1.0322416210016567,0.0,0.11469351344462853,0.11469351344462853,0.11469351344462853,0.22938702688925705
1013082,B.Hunt,Lightning,25.1,3,1,0,1,3,1,1.7928286852589639,0.597609561752988,0.0,0.597609561752988,1.7928286852589639,0.597609561752988
80343,C.Bruce,Fever,298.71666666666664,60,6,24,30,28,17,3.012888467332478,0.3012888467332478,1.2051553869329912,1.506444233666239,1.4060146180884896,0.8536517324108688
1001357,C.Koenen,Lightning,262.81666666666666,11,0,1,2,1,0,0.6278140655716913,0.0,0.057074005961062844,0.11414801192212569,0.057074005961062844,0.0
1001709,E.Burgess,Swifts,20.966666666666665,2,0,0,0,0,1,1.4308426073131957,0.0,0.0,0.0,0.0,0.7154213036565978
1000231,E.Cosh,Fever,191.93333333333334,10,0,0,0,1,5,0.7815213615838833,0.0,0.0,0.0,0.07815213615838833,0.39076068079194165
994213,E.Mannix,Vixens,148.8,31,3,7,10,11,8,3.125,0.30241935483870963,0.7056451612903225,1.0080645161290323,1.1088709677419355,0.8064516129032258
1019168,E.McDonald,Thunderbirds,97.11666666666666,6,0,1,1,0,8,0.9267204393341342,0.0,0.15445340655568904,0.15445340655568904,0.0,1.2356272524455123
994232,F.Themann,Magpies,22.6,10,0,1,1,2,0,6.63716814159292,0.0,0.663716814159292,0.663716814159292,1.327433628318584,0.0
993463,G.Bueta,Firebirds,238.8,19,2,3,5,2,4,1.193467336683417,0.12562814070351758,0.18844221105527637,0.31407035175879394,0.12562814070351758,0.25125628140703515
1015271,G.Horjus,Thunderbirds,252.86666666666667,8,0,1,1,3,1,0.47455839704719216,0.0,0.05931979963089902,0.05931979963089902,0.17795939889269707,0.05931979963089902
80010,G.Mentor,Magpies,228.63333333333333,31,6,12,18,11,14,2.0338241726199153,0.3936433882490159,0.7872867764980318,1.1809301647470476,0.7216795451231959,0.9185012392477038
991905,G.Simpson,Firebirds,284.8833333333333,40,5,12,17,11,3,2.1061253144562104,0.2632656643070263,0.631837594336863,0.8951032586438894,0.5791844614754579,0.15795939858421576
1014126,G.Sinclair,Magpies,267.96666666666664,10,0,1,1,2,3,0.5597711158104243,0.0,0.055977111581042426,0.055977111581042426,0.11195422316208485,0.16793133474312727
999128,H.Housby,Swifts,224.48333333333332,8,1,2,3,2,1,0.5345608434182196,0.06682010542727745,0.1336402108545549,0.20046031628183236,0.1336402108545549,0.06682010542727745
1022297,H.Mundy,Vixens,239.53333333333333,8,1,2,3,3,4,0.5009741163373226,0.06262176454216532,0.12524352908433065,0.18786529362649595,0.18786529362649595,0.2504870581686613
999806,H.Petty,Thunderbirds,239.58333333333334,31,0,6,6,3,6,1.940869565217391,0.0,0.3756521739130434,0.3756521739130434,0.1878260869565217,0.3756521739130434
998408,J.Anstiss,Fever,299.65,46,3,5,8,7,4,2.30268646754547,0.15017520440513935,0.25029200734189894,0.40046721174703825,0.35040881027865844,0.20023360587351913
80826,J.Fowler,Fever,300.0,11,1,0,2,1,3,0.55,0.05,0.0,0.1,0.05,0.15000000000000002
80150,J.Harten,GIANTS,300.06666666666666,6,0,4,5,2,0,0.2999333481448567,0.0,0.19995556542990447,0.2499444567873806,0.09997778271495224,0.0
1007220,J.Mi Mi,Firebirds,149.6,15,0,1,1,1,0,1.5040106951871657,0.0,0.10026737967914438,0.10026737967914438,0.10026737967914438,0.0
1001716,J.Newton,Magpies,99.1,26,4,7,11,13,4,3.935418768920283,0.6054490413723512,1.0595358224016147,1.664984863773966,1.9677093844601414,0.6054490413723512
80701,J.Price,GIANTS,295.3666666666667,36,1,6,7,10,2,1.82823609073468,0.05078433585374111,0.30470601512244666,0.3554903509761878,0.5078433585374111,0.10156867170748222
1011747,J.Ward,Magpies,293.25,59,6,25,32,24,9,3.0179028132992327,0.3069053708439898,1.278772378516624,1.6368286445012787,1.227621483375959,0.46035805626598464
80577,J.Weston,Vixens,300.03333333333336,49,3,16,19,12,17,2.449727808021331,0.14998333518497944,0.799911120986557,0.9498944561715364,0.5999333407399178,0.8499055660482169
1001708,K.Austin,GIANTS,19.816666666666666,1,0,1,2,0,0,0.7569386038687973,0.0,0.7569386038687973,1.5138772077375946,0.0,0.0
80575,K.Browne,Magpies,279.21666666666664,9,0,1,1,2,3,0.48349549334447567,0.0,0.05372172148271952,0.05372172148271952,0.10744344296543903,0.16116516444815854
